question,document
Does posting on Bluesky qualify for the learning in public requirement?,dbf5369006
Can I use content I shared on Bluesky to earn learning in public credits?,dbf5369006
Is Bluesky allowed as a platform for learning in public credits?,dbf5369006
What is the Telegram channel for LLM Zoomcamp?,054f3fd58f
Where can I join the LLM Zoomcamp Telegram group?,054f3fd58f
Is there a Telegram link for course announcements?,054f3fd58f
Should I use Telegram or Slack for technical questions in LLM Zoomcamp?,054f3fd58f
Where do LLM Zoomcamp announcements get posted?,054f3fd58f
Why is my FAQ dataset count different from the one shown in the course videos?,e2d595f23c
"I followed the notebook, but I get a different number of FAQ records than in the lecture — is that normal?",e2d595f23c
"Does the FAQ data change over time, or should it stay the same as in the videos?",e2d595f23c
Why do new questions appear and old ones disappear in the FAQ dataset when I rerun the code?,e2d595f23c
"The course video shows one record count, but I see another one now — is the dataset updated live?",e2d595f23c
"The homework deadline already passed, but the form is still open — can I still send my answers?",a9353fadfe
"If the due date is over and the submission page hasn’t closed yet, is it still okay to submit homework?",a9353fadfe
Am I allowed to turn in the assignment after the deadline as long as the form remains open?,a9353fadfe
What happens if I missed the deadline but the homework submission form is still available — can I use it?,a9353fadfe
"Do late submissions work in this course until the form is closed, or is the deadline final?",a9353fadfe
Can I still turn in homework after the deadline if the form hasn’t closed yet?,cdc3b285e5
Do you ever give deadline extensions for homework in this course?,cdc3b285e5
What happens if I miss a homework assignment completely — does it block the certificate?,cdc3b285e5
Are late homework submissions accepted once the submission form is closed?,cdc3b285e5
Does skipping homework affect my leaderboard position or certificate eligibility?,cdc3b285e5
Will the name I enter for the certificate be public or shared anywhere else?,651ba06b34
Does my certificate name show up on the leaderboard or is that separate?,651ba06b34
Can I keep my real name off the public course leaderboard but still use it on the certificate?,651ba06b34
Where do I change the nickname shown publicly versus the name printed on the certificate?,651ba06b34
"Is the certificate name private, or does it get published online or sent to third parties?",651ba06b34
"Why don’t we use LangChain in this course, even though it’s so popular for LLM apps?",b7cdde6b25
"Is there a reason we build prompting, retrieval, indexing, and evaluation from scratch before using a framework?",b7cdde6b25
Wouldn’t it be easier to start with LangChain instead of implementing the core pieces ourselves?,b7cdde6b25
What’s the point of learning the low-level RAG components before moving to something like LangChain?,b7cdde6b25
"Is the idea here to understand the basics first, kind of like learning HTML, CSS, and JavaScript before React or Angular?",b7cdde6b25
Why am I getting an OpenAI API error about insufficient credits when I run responses.create?,f5df151c59
"What does the ""OpenAI API Error: Insufficient credits"" message mean in responses.create?",f5df151c59
How do I fix the error I see when using OpenAI responses.create with my account?,f5df151c59
Is the responses.create command failing because my OpenAI account has no credits left?,f5df151c59
Why does OpenAI responses.create stop working and show an insufficient credits error?,f5df151c59
"Why am I getting a 429 RateLimitError from OpenAI, even though my code looks fine?",152af39a53
"Does OpenAI API have a free quota, or do I need to add billing before using it?",152af39a53
How can I fix the 'insufficient_quota' error when calling responses.create with gpt-4o?,152af39a53
What should I check in my OpenAI account if I keep seeing 'You exceeded your current quota'?,152af39a53
"After adding credits, do I need to create a new API key or change anything in my setup?",152af39a53
How much money do I actually need to spend to use the OpenAI API for this course?,554d0eb78b
Do I need to put in a lot of credits before I can start using the OpenAI API?,554d0eb78b
Is it true that the OpenAI API usage for the course is basically very cheap?,554d0eb78b
"What’s the minimum I can recharge my OpenAI account with, and is that enough to begin?",554d0eb78b
"For the course project, should I expect the API costs to be tiny or can they get expensive quickly?",554d0eb78b
"Do I need to pay for the OpenAI API to finish the homework in this course, or are there free options I can use instead?",85384a18e5
"For the RAG module, is an OpenAI subscription required, or can I use cheaper alternatives from the course repo?",85384a18e5
"Can I complete the assignments without paying for OpenAI, and where do I find the list of alternative APIs?",85384a18e5
Is it okay to skip OpenAI API costs for this course and use one of the low-cost providers mentioned in GitHub?,85384a18e5
"Do the course homeworks depend on a paid OpenAI API account, or are there free or low-cost replacements available?",85384a18e5
Why does the course use uv instead of pip and virtualenv for setup?,f81dea8f7e
"Is uv just a replacement for pip, or does it also handle virtualenv and Python versions?",f81dea8f7e
"Do I have to use uv in the course, or can I stick with pip and virtualenv?",f81dea8f7e
What makes uv faster or easier than the usual Python tooling?,f81dea8f7e
How does uv help with dependencies and lockfiles compared to using several separate tools?,f81dea8f7e
Why does my Jupyter notebook not see OPENAI_API_KEY even though I put it in .env?,86d99bbf21
"Do I need python-dotenv for loading my OpenAI key in the notebook, or is there another way?",86d99bbf21
Where should I call load_dotenv() so the API key is available before I make the OpenAI client?,86d99bbf21
What should I check if the notebook says my OpenAI API key is missing from environment variables?,86d99bbf21
I added the key to .env but it still doesn’t work in Jupyter — what am I missing?,86d99bbf21
How do I keep my API keys in a .env file and load them in Python for the RAG homework?,233dabe430
"What’s the easiest way to store OPENAI_API_KEY, GROQ_API_KEY, and GEMINI_API_KEY without hardcoding them?",233dabe430
Do I need to add .env to .gitignore before using python-dotenv in the course project?,233dabe430
How can I read environment variables from .env with load_dotenv() and os.getenv()?,233dabe430
Which package should I install to use a .env file for API keys in this module?,233dabe430
Can I do the homework with a different model or API than the one suggested in the assignment?,ee43413718
"Is it okay to use OpenAI, Gemini, Groq, OpenRouter, Azure OpenAI, or even a local LLM for the RAG homework?",ee43413718
"Do I need a paid provider to finish the module 1 homework, or can I avoid that?",ee43413718
"If I switch to another LLM provider, what parts of the code usually need changes because of different formats or tokenizers?",ee43413718
Where can I find a list of OpenAI API alternatives that are acceptable for this course?,ee43413718
How can I use Gemini in the Module 1 RAG notebook with the OpenAI-style endpoint?,0ae5c221b9
What do I need to set up first if I want the notebook to call Google Gemini models?,0ae5c221b9
How do I point an OpenAI client to Gemini’s compatible URL and pass the model name?,0ae5c221b9
Why does the course notebook need changes when switching from Responses API code to Gemini chat completions?,0ae5c221b9
What’s the easiest way to write an `llm` helper for Gemini using a `.env` API key?,0ae5c221b9
"How do I install Ollama on my machine, and does the setup differ between Mac, Windows, and Linux?",1d0b969028
"After installing Ollama, what’s the quickest way to launch a local model and see if it works?",1d0b969028
Is there a simple command I can run to check whether the Ollama server is actually up on my laptop?,1d0b969028
What do I need to install in Python if I want to call Ollama from a script or notebook?,1d0b969028
Can you show a minimal Python example for sending a prompt to Ollama and printing the answer?,1d0b969028
How do I fix a connection refused error when I prompt my Ollama RAG notebook during the homework?,c6fc2d4d11
"If Ollama suddenly stops responding in the RAG assignment, what should I do to get the server running again?",c6fc2d4d11
What command do I need to restart Ollama after getting a connection refused message in Module 1?,c6fc2d4d11
"Do I need to rerun the cell with ollama serve after restarting the notebook, or is restarting the server enough?",c6fc2d4d11
My RAG homework throws connection refused from Ollama — what's the quickest way to bring it back up?,c6fc2d4d11
Why does my `tiktoken` token count come out a bit lower than the number OpenAI shows in the API response?,bf0403d21b
"When I count tokens for a chat prompt myself, why does OpenAI usually report a few extra tokens?",bf0403d21b
Are there hidden formatting tokens added by the chat completions API that make the count different from plain `encode()`?,bf0403d21b
What causes OpenAI to say 327 tokens when my prompt text only seems to be around 320 tokens?,bf0403d21b
"Do roles, separators, or extra newlines add tokens in `chat.completions.create()`?",bf0403d21b
How can I stop re-exporting my API key in every new terminal for an llm-zoomcamp project?,8b2f5e9d04
What’s the easiest way to auto-load OPENAI_API_KEY when I enter my project folder?,8b2f5e9d04
Should I use dirdotenv or direnv for keeping .env variables available without typing export again?,8b2f5e9d04
What should I put in my shell config so the environment file is picked up automatically?,8b2f5e9d04
"If I’m using Python or Codespaces, what’s the recommended setup for loading secrets safely?",8b2f5e9d04
How do I decide on field weights in minsearch without just guessing?,87d4ea4e08
What’s the best way to tune search field weights for my RAG setup?,87d4ea4e08
Do you recommend testing different weights against labeled queries before choosing them?,87d4ea4e08
"For a small project, is trial and error enough for field weights, or should I build an evaluation set?",87d4ea4e08
What metrics should I use to compare different weight settings in a search engine?,87d4ea4e08
"What should I do first when preparing documents for a RAG pipeline, especially if the source text has messy HTML or OCR issues?",649c280e6d
"When cleaning documents for retrieval, which kinds of text should I remove, and what context should I avoid deleting?",649c280e6d
"Do I need to convert my documents into JSON before chunking them for RAG, or is another format okay too?",649c280e6d
How should I split documents so the chunks still keep related information together for better retrieval?,649c280e6d
"What metadata is worth saving in RAG documents, and how does it help with filtering or ranking later?",649c280e6d
"In GitHub Codespaces, why does uv show a “Failed to hardlink files” warning — should I worry about it?",acf8fa5356
Does uv still install the package if it can’t hardlink from the cache in Codespaces?,acf8fa5356
How can I stop uv from printing the hardlink warning in my current shell?,acf8fa5356
What’s the easiest way to make uv always use copy mode in my Codespaces setup?,acf8fa5356
Is there a setting or env var I can use so uv copies files instead of trying to hardlink them?,acf8fa5356
"I'm getting ""dotenv is not recognized"" in my RAG project — what package am I supposed to install?",0bed1f48da
Do I need to add something with uv to make dotenv work in Python?,0bed1f48da
What’s the correct install command if load_dotenv isn't available?,0bed1f48da
How do I fix the error when Python can't find dotenv?,0bed1f48da
"After installing the dotenv package, how should I load the .env file in code?",0bed1f48da
"Can I do this course on my own laptop instead of using Codespaces, or is that not allowed?",aa310de435
"Is Codespaces required for the RAG module, or can I set everything up locally with Python and Docker?",aa310de435
"If I skip Codespaces and run the course on my machine, what tools do I need to install first?",aa310de435
Why does the course recommend Codespaces if I can already work locally?,aa310de435
What should I do to keep my local setup reproducible if I don't use Codespaces?,aa310de435
"If I just keep coding in GitHub Codespaces and never commit, is my work still saved somewhere?",610ccb23c0
Where does my code live inside Codespaces before I push or commit it?,610ccb23c0
Can I lose changes in Codespaces if the session stops or gets deleted?,610ccb23c0
Why do people keep saying I should commit often when using Codespaces?,610ccb23c0
"Is code in Codespaces automatically backed up to my GitHub repo, or do I need to commit it myself?",610ccb23c0
"Why does WSL2 say the model needs more memory than I have, even though my PC has enough RAM?",f3dd94f323
How can I make WSL2 use more RAM on Windows so the model runs?,f3dd94f323
Where do I put the .wslconfig file to change WSL2 memory settings?,f3dd94f323
"What should I write in .wslconfig to give WSL2, say, 8GB of memory?",f3dd94f323
"After changing WSL2 RAM settings, how do I restart it and check that the new memory limit is active?",f3dd94f323
"My GitHub Codespace is stuck on ""Finishing up"" and never opens — what should I try first?",830f3d2018
"If my Codespace won’t reconnect, is there a way to fix it without deleting everything?",830f3d2018
Why did my setup disappear in Codespaces after a rebuild or new workspace?,830f3d2018
"Do files in /workspaces survive stopping and starting a Codespace, or do I need to commit first?",830f3d2018
"If Codespaces keeps acting weird, can I just do the course on my own machine instead?",830f3d2018
"Can I use something other than OpenAI for the RAG assignment, or is the course locked to it?",c6ff9083c0
"If I switch to another LLM provider, what do I usually need to change in the course code besides the model?",c6ff9083c0
"Are services like Groq, OpenRouter, DeepSeek, Gemini, Mistral, or Z.ai okay for this course?",c6ff9083c0
"Can I run a model locally with Ollama, vLLM, or LM Studio and still follow the course notebooks?",c6ff9083c0
What should I do if the provider from the course is blocked in my country or I don't want to use a paid API key?,c6ff9083c0
"In agentic RAG, what exactly counts as a tool or function, and what kinds of external actions can it do?",c296ea5a21
"Do I need to worry about the difference between tools and functions in this module, or are they basically the same thing?",c296ea5a21
"When does the model decide to call a tool in agentic RAG, and how is that different from basic RAG?",c296ea5a21
"Can a tool/function in this setup be used for things like database queries, API calls, or calculations?",c296ea5a21
What is the main idea behind letting the model choose when to use a tool instead of doing retrieval as a fixed first step?,c296ea5a21
Which free models can I use for tool calling in Groq?,0d74a3616f
Does Deepseek R1 or Llama 4 support tool use without paying?,0d74a3616f
What other AI providers have function calling or tool support besides Groq?,0d74a3616f
"If I switch away from OpenAI, do I need to change my code for tools?",0d74a3616f
Where can I find the official docs for Groq tool use?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I call the OpenAI Responses API with a model from another provider?,9e7b3f0c25
"Is `client.responses.create(...)` only meant for OpenAI models, or can I use it with Mistral/Groq/Gemini too?",9e7b3f0c25
"If I’m not using OpenAI, what should I read from the response instead of `response.output`?",9e7b3f0c25
How do I switch my code to chat completions when the Responses API doesn’t work with my model?,9e7b3f0c25
Do I need to change my tools schema too when using a non-OpenAI provider?,9e7b3f0c25
How do I fix the Azure OpenAI 400 error saying tools[0].function is missing?,b9c7c6bb34
What should my get_weather_tool JSON look like for Azure OpenAI function calling?,b9c7c6bb34
I keep getting a missing required parameter for tools[0].function — what am I doing wrong?,b9c7c6bb34
Can you show the correct format for the weather tool definition in Agentic RAG?,b9c7c6bb34
"Why does Azure OpenAI reject my tool definition, and how should I structure the function object?",b9c7c6bb34
"Why am I getting a 404 with toyaikit on Groq, and what runner/client should I switch to?",0224d980b3
How do I point toyaikit at Groq using the OpenAI-compatible chat completions API?,0224d980b3
What’s the right way to use toyaikit with Anthropic instead of OpenAI?,0224d980b3
"Why does OpenAIResponsesRunner fail on non-OpenAI providers, and is there a fix?",0224d980b3
"What does runner.loop(prompt=...) do in toyaikit, and how is it different from runner.run()?",0224d980b3
Where do I actually find the Module 1 homework questions and instructions?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub page too?",53f15299b6
"For the 2026 Module 1 assignment, which repo links should I open first?",53f15299b6
Do I need to check GitHub for extra homework details even if I use the platform?,53f15299b6
Where are the homework links for Module 1 in llm-zoomcamp?,53f15299b6
Why do I get an empty list back after filtering my query in the Module 1 homework?,83da208a64
Could this be an indexing issue if my HW Q3 query returns no results after applying filters?,83da208a64
Do I need to set up the index settings before inserting the data for the homework search to work?,83da208a64
What should I check first when my filtered query keeps returning an empty list in this assignment?,83da208a64
"In the llm-zoomcamp homework, is there a reason the filters work but the final query still gives nothing?",83da208a64
"Why am I getting a 402 error from OpenRouter when I call responses.create, and how do I stop it?",cfb07a27d5
Do I need to set max_output_tokens in responses.create for the Module 1 homework?,cfb07a27d5
"In rag_helper.py, where should I add the output token limit so OpenRouter doesn’t reject my request?",cfb07a27d5
"For Q6 with ToyAIKit, what extra setting should I pass to the OpenAIClient?",cfb07a27d5
"If I already set a lower max_output_tokens and it still fails, what should I check in my .env and OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, when they say to point RAG at the chunk index, does that mean I should search over the split pieces instead of the full docs?",b4300adeb1
"For the homework RAG setup, should the index be fit on `chunks` rather than `documents`?",b4300adeb1
"If I already have the original records, why does the RAG pipeline need the chunked version for retrieval?",b4300adeb1
What changes in the prompt input when RAG is using chunked documents instead of the whole documents?,b4300adeb1
"How do I know whether my homework code is indexing the right thing for RAG, the raw docs or the chunks?",b4300adeb1
"For the module 1 homework, do I need my numeric answer to match one of the choices exactly, or is the nearest option okay?",5e4ca64cb5
"If my homework result is a little different from the multiple-choice answers, should I just pick the closest one?",5e4ca64cb5
What should I do when my computed answer doesn’t line up exactly with any of the homework options?,5e4ca64cb5
Why can the homework answers differ a bit from the provided options even when my code seems correct?,5e4ca64cb5
When should I worry that my homework result is wrong instead of just being due to small rounding or dataset differences?,5e4ca64cb5
Where exactly should I check when the homework prompt is confusing — the platform page or the GitHub instructions?,7d3a2e3505
"For Module 1 in the 2026 cohort, what links do I need to open first to understand the homework properly?",7d3a2e3505
Why does the homework sometimes look different from the lesson if it’s based on the same topic?,7d3a2e3505
"If I’m still stuck after reading the homework docs, what’s the best way to ask for help in Slack?",7d3a2e3505
"When I post a question about homework, should I send screenshots or paste the code/output as text?",7d3a2e3505
How do I count tokens for Module 1 homework if I’m using a model that isn’t OpenAI?,fe8fed31e6
Where should I look in the response to get the input or prompt token count for the homework?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in Module 1?",fe8fed31e6
What should I do if my provider doesn’t return any token usage info at all?,fe8fed31e6
"For the multiple-choice homework, what’s the right way to pick the token count answer if the exact number isn’t available?",fe8fed31e6
"Why does the grader say my repo link is not 200, and how do I make it pass?",bcdb8740ce
My homework URL gives 404/500 when the checker opens it — what should I check first?,bcdb8740ce
Do I need to remove the .git part from my GitHub repo link before submitting?,bcdb8740ce
Could a private repo be the reason my homework submission fails with a non-200 response?,bcdb8740ce
How can I quickly test whether the submitted repository URL is publicly reachable?,bcdb8740ce
"What exactly are embeddings in vector search, and why do we turn text or other non-numeric data into numbers?",69430a79a8
How do embeddings keep the meaning or context of the original data when converting it into a numerical form?,69430a79a8
Why do similar pieces of non-numerical data end up with similar vectors after embedding?,69430a79a8
What is the connection between embeddings and semantic similarity calculations in a vector space?,69430a79a8
"Are embeddings related to things like the vector space model or dimensionality reduction, and if so, how?",69430a79a8
How do I get rid of the warning about multi-qa-mpnet-base-dot-v1 and sentence transformers version?,aa3f597424
I'm seeing a message that says the model was made on sentence-transformers v3.0.0 beta — how can I suppress it?,aa3f597424
Do I need to upgrade sentence-transformers to fix the warning from multi-qa-mpnet-base-dot-v1?,aa3f597424
What command should I run so that the sentence-transformers warning stops showing up?,aa3f597424
"Why am I getting this model/version warning in vector search, and what version should I install?",aa3f597424
"Why did the lesson use just the dot product for similarity, but the homework makes us normalize the vectors first?",92cd22cada
Is cosine similarity the same as a dot product when the embeddings already have unit length?,92cd22cada
"Do OpenAI embeddings come normalized by default, and is that why `.dot(...)` was enough in class?",92cd22cada
Why doesn't the dot product work as cosine similarity with TF-IDF plus SVD embeddings unless we normalize them?,92cd22cada
What changes between the lecture example and the homework example that makes normalization necessary?,92cd22cada
"Should I store embeddings from just the answer text, just the question, or both together for vector search?",5c4a8d2e60
"In the vector search homework, is it better to embed only the answer, only the question, or question plus text?",5c4a8d2e60
"What’s the usual choice for embeddings in this module — question, answer, or the combined question and answer?",5c4a8d2e60
"Do I need to compare embedding the question versus the answer, or should I always join them before indexing?",5c4a8d2e60
"For best retrieval results, should I index the answer field only, the question field only, or question + text?",5c4a8d2e60
How do I understand cosine similarity when comparing two vectors?,db78580409
Why is cosine similarity used so often in text search and document comparison?,db78580409
"What does it mean when the cosine similarity score is 1, 0, or -1?",db78580409
How does cosine similarity measure the angle between two document vectors?,db78580409
What kinds of vectors are usually compared with cosine similarity in NLP?,db78580409
Why can cosine similarity be computed with a plain dot product once the vectors are normalized?,95feb4e75b
How does normalizing the embeddings and the query make matrix multiplication enough for similarity search?,95feb4e75b
What changes in cosine similarity when all vectors are scaled to unit length?,95feb4e75b
Why is the dot product between a query and document embeddings the same as cosine similarity after normalization?,95feb4e75b
"In vector search, why do we use matrix multiplication to get cosine similarity scores efficiently?",95feb4e75b
"For Module 2, do I create a brand new GitHub repo or just spin up another codespace from my current one?",1e829a8c6f
Why does the course recommend a separate codespace for the vector search module instead of reusing the old environment?,1e829a8c6f
"If I make a new codespace for Module 2, is it still based on my existing repository?",1e829a8c6f
What should I do with my Module 2 work if I might delete the codespace later?,1e829a8c6f
"Can I just keep everything in my Module 1 codespace, or is it better to isolate Module 2 in its own setup?",1e829a8c6f
"Why does download.py get stuck at 0% when it tries to fetch model.onnx from HuggingFace, and how can I fix it?",29b69fbe0b
My model.onnx download never finishes in download.py — is there a workaround besides waiting?,29b69fbe0b
Is there a way to manually download Xenova/all-MiniLM-L6-v2/model.onnx so the script won’t keep hanging?,29b69fbe0b
"If download.py seems frozen while getting the ONNX file, what should I do to make it continue?",29b69fbe0b
Can I place model.onnx in the right folder myself and skip the HuggingFace download step?,29b69fbe0b
"Why do my vector search scores from a matrix dot product and a Python for-loop not match exactly, even though they should be the same math?",e889793af9
"Is it normal for `np.allclose(scores, scores_loop)` to return `False` when I compare vector search results from `X.dot(v_query)` and a loop?",e889793af9
What causes tiny differences between the BLAS-based dot product and the loop version in the vector search lesson?,e889793af9
Do I need to worry if the two vector search implementations give slightly different numbers in the last decimal places?,e889793af9
What’s the right way to compare the scores from the matrix version and the for-loop version in vector search without expecting an exact match?,e889793af9
"For Module 2 Q2, why does my cosine similarity not match any multiple-choice option?",eaa17a9dc6
"Am I supposed to use sentence-transformers for the homework embeddings, or a different model?",eaa17a9dc6
"Could the wrong embedding model, like the one from the lessons, be why my answer is off?",eaa17a9dc6
"When I compute cosine similarity, should I be embedding the page content or something else?",eaa17a9dc6
"If my result is a little different after using the right setup, should I just choose the closest option?",eaa17a9dc6
"How do I set up Gemini, OpenAI, and Tavily keys so Kestra can actually use them?",3860e5fe8b
"Do I need both a normal Gemini env var and a SECRET_ one, or is one enough?",3860e5fe8b
Why does Kestra want the API key base64-encoded in an environment variable?,3860e5fe8b
What’s the right way to reference a secret inside a Kestra flow YAML file?,3860e5fe8b
"After exporting the keys, do I have to restart Kestra for the changes to take effect?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating Kestra flows, and what am I missing in the setup?",04440cab11
"Do I need to use a normal Gemini API key for the Copilot, or is the base64 `SECRET_GEMINI_API_KEY` enough?",04440cab11
Where exactly should I set `GEMINI_API_KEY` so the AI Copilot starts working after `docker compose up`?,04440cab11
"If I already added the key but the Copilot still refuses, how can I check whether the environment variable is actually being read?",04440cab11
"Could this error be caused by Gemini quota limits or a bad key, and what should I try next to fix it?",04440cab11
Why does my Kestra flow say the Gemini key is invalid or missing even though I already set SECRET_GEMINI_API_KEY?,c8ca21af33
Could a bad base64 encode be the reason my secret auth fails in Kestra?,c8ca21af33
"Do I need to restart Kestra after exporting the API key, or should it pick up the new env vars automatically?",c8ca21af33
"In the flow, should I call the secret with SECRET_GEMINI_API_KEY or just GEMINI_API_KEY?",c8ca21af33
What’s the best way to load the Gemini key for Kestra — export it in the shell or use a .env file with docker compose?,c8ca21af33
Why can’t I just keep running this stuff in a notebook instead of using Kestra?,193612db63
What does an orchestrator like Kestra actually give me that a plain Python script doesn’t?,193612db63
"Is Kestra only for scheduling jobs, or does it help with retries, secrets, and task chaining too?",193612db63
"Why is this module using Kestra to teach AI Copilot, RAG, and agents instead of just showing notebook examples?",193612db63
"Can I switch between OpenAI, Gemini, and Anthropic in the same Kestra flow without rewriting everything?",193612db63
How do I fix the `JSONDecodeError: Expecting value` when I try to parse LLM output for ground-truth questions?,a3c7e1b4f9
Why does `json.loads(response)` fail sometimes when the model is supposed to return JSON?,a3c7e1b4f9
Is there a way to force the LLM to return only valid JSON instead of markdown or extra text?,a3c7e1b4f9
What should I add to my prompt so the model gives me a JSON object with a `questions` list and nothing else?,a3c7e1b4f9
"Does this JSON-only output thing work with other providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter kernel keep crashing when I try to embed the ground-truth set in Module 4?,b8f2d6a30c
What can I do if the notebook runs out of memory after loading the embedding model and evaluating the ground truth?,b8f2d6a30c
"Is there a lighter embedding model I can switch to for the evaluation notebook, and will it affect my results?",b8f2d6a30c
Would it help to move the embedding part into a separate Python script instead of running everything in Jupyter?,b8f2d6a30c
How can I handle the ground-truth embeddings on a low-RAM machine without the kernel dying?,b8f2d6a30c
Why does adding `time.sleep(4)` still not stop Gemini rate-limit errors when I'm building the ground-truth data?,c1e9f4b820
What's a cheap alternative to Gemini if I need to generate the whole eval set without getting blocked so fast?,c1e9f4b820
Can I use a free model or API with higher request limits for the ground-truth generation task?,c1e9f4b820
How can I reduce the chance of hitting limits when I'm calling the model from a thread pool?,c1e9f4b820
"If my run gets cut off by quota errors, what's the easiest way to continue without starting over?",c1e9f4b820
How do I fix the WinError 126 / fbgemm.dll missing error on Windows when importing torch?,15e931476c
"Is installing the Visual C++ Redistributable enough for the ""specified module could not be found"" error in Python on Windows?",15e931476c
Do I need Visual Studio or Visual Studio Code to solve the fbgemm.dll dependency issue with PyTorch?,15e931476c
What should I do if torch fails to load fbgemm.dll in Windows with an OSError?,15e931476c
"Why am I getting a missing module error for torch\lib\fbgemm.dll on my Windows machine, and how can I repair it?",15e931476c
"I’m getting psycopg2 OperationalError in prep.py saying it can’t translate host name ""postgres"". What should I change to make it work?",4b65d5542d
How do I fix the postgres host error when running python prep.py and it says No such host is known?,4b65d5542d
My .env has POSTGRES_HOST=postgres and prep.py fails with an OperationalError. What’s the correct host value?,4b65d5542d
"Why does psycopg2 fail with ""could not translate host name postgres"" when I run prep.py, and what should I put in .env instead?",4b65d5542d
